Date,STI_Y,SGDUSD,BARCLAY,CRUDEPETROLEUM,DOW,EAFE,SGDEURO,SGDHKD,SGDIDR,SGDJPY,SGDMYR,GOLD_PRICE,NASDAQ,SP500,WILSHIRE5000
4/28/2015,0.898971135,0.133379888,0.854886507,0.614541811,0.176367329,0.520202474,1,0.754053227,0.866598096,0.85146621,0.793206834,0.261161748,0.142077801,0.183472846,0.233729955
4/29/2015,0.892296959,0.069343575,0.851188729,0.644820713,0.170996223,0.49988121,0.9885918,0.815692872,0.886907817,0.874058958,0.796122885,0.25444075,0.136352064,0.178392848,0.228050995
4/30/2015,0.892498697,0.091829609,0.829002145,0.665737025,0.156957896,0.47542761,0.862269756,0.795656164,0.86106153,0.867168769,0.795630031,0.210593688,0.121538518,0.164687562,0.21276367
5/4/2015,0.888556394,0.154539106,0.826783703,0.651792784,0.173506516,0.498503937,0.755674391,0.735698991,0.886862584,0.883405538,0.805856744,0.217634856,0.135143136,0.18329943,0.230373775
5/5/2015,0.878881361,0.166759777,0.79720139,0.681075689,0.163269765,0.464061286,0.772311349,0.726215968,0.880991363,0.875393894,0.805487104,0.227876339,0.121161992,0.167224347,0.213494344
5/6/2015,0.869298791,0.167039106,0.793579453,0.691633417,0.157063066,0.469916567,0.746048723,0.724227593,0.880665631,0.868397312,0.802160342,0.223235753,0.117614473,0.16124513,0.208532034
5/7/2015,0.846594825,0.105726257,0.798034605,0.651991967,0.162971831,0.462339297,0.688175876,0.785102478,0.888780491,0.878171334,0.803104978,0.210593688,0.122280836,0.166286713,0.213634083
5/8/2015,0.862759108,0.170391061,0.857436105,0.660956109,0.182196093,0.515036427,0.700297089,0.724533496,0.892507727,0.85782219,0.806596024,0.221315328,0.132732406,0.184333493,0.230712543
5/11/2015,0.878553536,0.154818436,0.873771747,0.658167285,0.176009499,0.494714725,0.748425431,0.736616702,0.891648295,0.867756335,0.80281748,0.211873776,0.130934321,0.177416643,0.224762839
5/12/2015,0.854622329,0.200977654,0.869316509,0.68804776,0.173350309,0.493337452,0.74533571,0.692872438,0.875970474,0.8586767,0.805569246,0.226916225,0.127803003,0.173428407,0.221270487
5/13/2015,0.863734176,0.183030726,0.883424705,0.683067681,0.172793106,0.510558578,0.706120024,0.709391251,0.895728298,0.856540237,0.805446033,0.268202915,0.128793933,0.173017291,0.220677214
5/14/2015,0.86592808,0.123044693,0.894562281,0.670717105,0.186596769,0.538456675,0.668211527,0.766289385,0.892733893,0.860278954,0.80754066,0.279404709,0.141245398,0.187544653,0.234980835
5/15/2015,0.872081099,0.080656425,0.89307723,0.666932204,0.188059584,0.541212056,0.667498515,0.80773937,0.888273914,0.884153281,0.804049614,0.279564696,0.140793216,0.188591415,0.235933048
5/18/2015,0.869113864,0.084636872,0.879711949,0.661752942,0.189954326,0.533290349,0.636363636,0.804833282,0.894398423,0.888052122,0.803351405,0.283245364,0.146225298,0.192746637,0.241591836
5/19/2015,0.864465478,0.136592179,0.875256797,0.618525815,0.190926864,0.524335129,0.673440285,0.754970939,0.89730245,0.883565662,0.804706752,0.249799967,0.144710047,0.19186686,0.24001363
5/20/2015,0.852394802,0.186382682,0.916837951,0.6527888,0.188983896,0.528813137,0.757338087,0.706485164,0.890092255,0.887090845,0.80860851,0.25300048,0.145018217,0.190595254,0.239020331
5/21/2015,0.852546106,0.197765363,0.925748168,0.687450171,0.18900836,0.541212056,0.781580511,0.698378709,0.891295441,0.904662923,0.800188927,0.245799326,0.148450405,0.193787127,0.241814237
